"","StudentNumber","Gender","Grade","Ethnicity","SchoolName","Lunch","Special.Education","Inf..Date","Infraction","Adminstrative.Action","COUNT"
"1","S10004","F",5,"White","ACC Career And Technical Education","Paid","","8/21/2015","Cell Phone","No Recess",488
"2","S10004","M",11,"Black","ACC Career And Technical Education","Free Lunch","Emotional Disability (Full Time) (05)","12/7/2015","Cell Phone","Parent Conference",97
"3","S10004","M",12,"Hispanic","ACC Career And Technical Education","Reduced Lunch","","12/10/2015","Inappropriate Use Of Internet","ISS-2 Day ICBM",407
"4","S10004","M",11,"Black","ACC Career And Technical Education","Free Lunch","Specific Learning Disability (07)","11/3/2015","Insubordination","ISS-Half Day ICBM",270
"5","S10012","M",11,"Hispanic","ACC Career And Technical Education","Free Lunch","","12/14/2015","Rule Violation","ISS-Half Day ICBM",270
"6","S10004","M",12,"Black","ACC Career And Technical Education","Free Lunch","","12/1/2015","Safety Infraction","OSS-Three Days Out of School Suspension",258
"7","S10004","F",12,"Black","ACC Career And Technical Education","Free Lunch","","9/22/2015","Rule Violation","Class Suspension",1164
"8","S10022","M",12,"Black","ACC Career And Technical Education","Free Lunch","Specific Learning Disability (07)","11/2/2015","Leaving Without Permission","ISS-Half Day ICBM",270
"9","S10004","M",11,"White","ACC Career And Technical Education","Paid","","10/6/2015","Gross Insubordination","OSS-Ten Days OSS/Pending Expulsion",101
"10","S10004","M",12,"Black","ACC Career And Technical Education","Free Lunch","","8/27/2015","Cell Phone","Conference  Warning",255
"11","S10012","F",12,"Black","ACC Career And Technical Education","Reduced Lunch","","10/9/2015","Classroom Disruption","Class Suspension",1164
"12","S10057","F",12,"Black","ACC Career And Technical Education","Free Lunch","Emotional Disability (Other) (06)","10/7/2015","Insubordination","ISS-Half Day ICBM",270
"13","S10004","F",11,"Black","ACC Career And Technical Education","Paid","","11/5/2015","Rule Violation","ISS-1 Day ICBM",1807
"14","S10022","F",11,"Black","ACC Career And Technical Education","Paid","","11/18/2015","Insubordination","Class Suspension",1164
"15","S10058","F",11,"Black","ACC Career And Technical Education","Paid","","12/14/2015","Disruption-School Process","ISS-Half Day ICBM",270
"16","S10070","F",11,"Black","ACC Career And Technical Education","Free Lunch","","10/12/2015","Insubordination","ISS-Half Day ICBM",270
"17","S10012","M",11,"White","ACC Career And Technical Education","Free Lunch","","12/9/2015","Insubordination","ISS-1 Day ICBM",1807
"18","S10012","M",11,"Black","ACC Career And Technical Education","Free Lunch","Deaf or Hard of Hearing (04)","10/6/2015","Cell Phone","Conference  Warning",255
"19","S10022","F",12,"White","ACC Career And Technical Education","Paid","","10/5/2015","Disruption-School Process","ISS-1 Day ICBM",1807
"20","S10057","F",12,"White","ACC Career And Technical Education","Paid","","10/9/2015","Classroom Disruption","Class Suspension",1164
"21","S10022","M",12,"White","ACC Career And Technical Education","Paid","","9/10/2015","Cell Phone","Conference  Warning",255
"22","S10057","M",12,"White","ACC Career And Technical Education","Paid","","9/18/2015","Safety Infraction","ISS-1 Day ICBM",1807
"23","S10058","F",12,"White","ACC Career And Technical Education","Paid","","10/5/2015","Disruption-School Process","ISS-1 Day ICBM",1807
"24","S10004","M",12,"Black","ACC Career And Technical Education","Paid","","10/20/2015","Disruption-School Process","Administrative Conference",1230
"25","S10058","F",11,"Black","ACC Career And Technical Education","Free Lunch","","10/20/2015","Insubordination","Class Suspension",1164
"26","S10070","F",12,"Black","ACC Career And Technical Education","Free Lunch","","9/21/2015","Insubordination","ISS-1 Day ICBM",1807
"27","S10012","F",12,"Black","ACC Career And Technical Education","Free Lunch","","12/17/2015","Gross Insubordination","OSS-Three Days Out of School Suspension",258
"28","S10012","M",11,"Hispanic","ACC Career And Technical Education","Paid","","10/2/2015","Excessive Absences","Administrative Conference",1230
"29","S10070","F",11,"Hispanic","ACC Career And Technical Education","Paid","","11/16/2015","Cell Phone","Class Suspension",1164
"30","S10057","F",11,"Hispanic","ACC Career And Technical Education","Free Lunch","","9/8/2015","Cell Phone","Conference  Warning",255
"31","S10080","F",11,"Hispanic","ACC Career And Technical Education","Free Lunch","","11/10/2015","Rule Violation","Class Suspension",1164
"32","S10022","M",11,"White","ACC Career And Technical Education","Paid","","12/1/2015","Safety Infraction","OSS-Three Days Out of School Suspension",258
"33","S10080","F",12,"White","ACC Career And Technical Education","Paid","","11/19/2015","Insubordination","ISS-Half Day ICBM",270
"34","S10022","F",11,"Hispanic","ACC Career And Technical Education","Paid","","10/20/2015","Disruption-School Process","Administrative Conference",1230
"35","S10085","M",11,"Hispanic","ACC Career And Technical Education","Paid","","10/26/2015","Insubordination","ISS-Half Day ICBM",270
"36","S10058","M",12,"White","ACC Career And Technical Education","Paid","","9/3/2015","Cell Phone","Conference  Warning",255
"37","S10057","M",12,"White","ACC Career And Technical Education","Paid","","11/13/2015","Cell Phone","Administrative Conference",1230
"38","S10070","M",11,"White","ACC Career And Technical Education","Paid","","10/1/2015","Cell Phone","Conference  Warning",255
"39","S10004","M",13,"White","Clark High School","Paid","","9/23/2015","Truancy","Lunch Restriction",926
"40","S10012","M",13,"White","Clark High School","Paid","","10/5/2015","Excessive Tardiness","Lunch Restriction",926
"41","S10004","F",13,"Black","Clark High School","Free Lunch","Specific Learning Disability (07)","9/8/2015","Insubordination","OSS-One Day Out of School Suspension",693
"42","S10022","F",13,"Hispanic","Clark High School","Free Lunch","","12/8/2015","Excessive Tardiness","Lunch Restriction",926
"43","S10057","M",12,"White","Clark High School","Paid","Emotional Disability (Other) (06)","9/28/2015","Excessive Tardiness","Lunch Restriction",926
"44","S10058","M",12,"White","Clark High School","Paid","Emotional Disability (Other) (06)","10/1/2015","Excessive Tardiness","Lunch Restriction",926
"45","S10070","M",12,"White","Clark High School","Paid","Emotional Disability (Other) (06)","11/10/2015","Excessive Tardiness","Lunch Restriction",926
"46","S10080","F",13,"White","Clark High School","Paid","Severe Cognitive Disability (12)","10/16/2015","Failure Refused Detention","Lunch Restriction",926
"47","S10085","F",13,"Hispanic","Clark High School","Free Lunch","","9/25/2015","Excessive Tardiness","Lunch Restriction",926
"48","S10004","F",13,"Hispanic","Clark High School","Free Lunch","","10/5/2015","Excessive Tardiness","Friday School",317
"49","S10095","F",13,"Hispanic","Clark High School","Free Lunch","","11/3/2015","Excessive Tardiness","Lunch Restriction",926
"50","S10080","M",13,"Hispanic","Clark High School","Paid","","9/10/2015","Inappropriate Language","ISS-1 Day ICBM",1807
"51","S10085","M",12,"White","Clark High School","Free Lunch","","10/27/2015","Excessive Tardiness","ISS-1 Day ICBM",1807
"52","S10012","M",12,"White","Clark High School","Free Lunch","","12/8/2015","Excessive Tardiness","ISS-2 Day ICBM",407
"53","S10108","F",11,"White","Clark High School","Free Lunch","Specific Learning Disability (07)","9/4/2015","Disruption-School Process","Lunch Restriction",926
"54","S10004","F",11,"White","Clark High School","Free Lunch","Specific Learning Disability (07)","9/4/2015","Disruption-School Process","SEI Consultation",573
"55","S10012","F",11,"White","Clark High School","Free Lunch","Specific Learning Disability (07)","10/8/2015","Other","SEI Consultation",573
"56","S10022","F",11,"White","Clark High School","Free Lunch","Specific Learning Disability (07)","10/15/2015","Other","SEI Consultation",573
"57","S10057","F",11,"White","Clark High School","Free Lunch","Specific Learning Disability (07)","10/20/2015","Other","SEI Consultation",573
"58","S10004","F",11,"White","Clark High School","Free Lunch","Specific Learning Disability (07)","10/21/2015","Other","Administrative Leave",71
"59","S10058","M",12,"White","Clark High School","Free Lunch","Autism Spectrum Disorder (15)","8/27/2015","Classroom Disruption","Administrative Conference",1230
"60","S10070","M",12,"White","Clark High School","Free Lunch","Autism Spectrum Disorder (15)","9/9/2015","Classroom Disruption","Administrative Conference",1230
"61","S10095","M",12,"White","Clark High School","Free Lunch","Autism Spectrum Disorder (15)","9/11/2015","Leaving Without Permission","ISS-1 Day ICBM",1807
"62","S10057","M",12,"White","Clark High School","Free Lunch","Autism Spectrum Disorder (15)","9/15/2015","Disruption-School Process","OSS-Three Days Out of School Suspension",258
