StudentNumber,Gender,Grade,Ethnicity,SchoolName,Lunch,Special Education,Inf. Date,Infraction,Adminstrative Action
S8340,F,5,White,ACC Career And Technical Education,Paid,,8/21/2015,Cell Phone,No Recess
S1226938,M,11,Black,ACC Career And Technical Education,Free Lunch,Emotional Disability (Full Time) (05),12/7/2015,Cell Phone,Parent Conference
S1227912,M,12,Hispanic,ACC Career And Technical Education,Reduced Lunch,,12/10/2015,Inappropriate Use Of Internet,ISS-2 Day ICBM
S1229635,M,11,Black,ACC Career And Technical Education,Free Lunch,Specific Learning Disability (07),11/3/2015,Insubordination,ISS-Half Day ICBM
S1230046,M,11,Hispanic,ACC Career And Technical Education,Free Lunch,,12/14/2015,Rule Violation,ISS-Half Day ICBM
S1233111,M,12,Black,ACC Career And Technical Education,Free Lunch,,12/1/2015,Safety Infraction,OSS-Three Days Out of School Suspension
S1233124,F,12,Black,ACC Career And Technical Education,Free Lunch,,9/22/2015,Rule Violation,Class Suspension
S1233599,M,12,Black,ACC Career And Technical Education,Free Lunch,Specific Learning Disability (07),11/2/2015,Leaving Without Permission,ISS-Half Day ICBM
S1234058,M,11,White,ACC Career And Technical Education,Paid,,10/6/2015,Gross Insubordination,OSS-Ten Days OSS/Pending Expulsion
S1234411,M,12,Black,ACC Career And Technical Education,Free Lunch,,8/27/2015,Cell Phone,Conference  Warning
S1285367,F,12,Black,ACC Career And Technical Education,Reduced Lunch,,10/9/2015,Classroom Disruption,Class Suspension
S1291355,F,12,Black,ACC Career And Technical Education,Free Lunch,Emotional Disability (Other) (06),10/7/2015,Insubordination,ISS-Half Day ICBM
S1291547,F,11,Black,ACC Career And Technical Education,Paid,,11/5/2015,Rule Violation,ISS-1 Day ICBM
S1291547,F,11,Black,ACC Career And Technical Education,Paid,,11/18/2015,Insubordination,Class Suspension
S1291547,F,11,Black,ACC Career And Technical Education,Paid,,12/14/2015,Disruption-School Process,ISS-Half Day ICBM
S3269,F,11,Black,ACC Career And Technical Education,Free Lunch,,10/12/2015,Insubordination,ISS-Half Day ICBM
S7353,M,11,White,ACC Career And Technical Education,Free Lunch,,12/9/2015,Insubordination,ISS-1 Day ICBM
S9771,M,11,Black,ACC Career And Technical Education,Free Lunch,Deaf or Hard of Hearing (04),10/6/2015,Cell Phone,Conference  Warning
S9878,F,12,White,ACC Career And Technical Education,Paid,,10/5/2015,Disruption-School Process,ISS-1 Day ICBM
S9878,F,12,White,ACC Career And Technical Education,Paid,,10/9/2015,Classroom Disruption,Class Suspension
S9916,M,12,White,ACC Career And Technical Education,Paid,,9/10/2015,Cell Phone,Conference  Warning
S10344,M,12,White,ACC Career And Technical Education,Paid,,9/18/2015,Safety Infraction,ISS-1 Day ICBM
S10388,F,12,White,ACC Career And Technical Education,Paid,,10/5/2015,Disruption-School Process,ISS-1 Day ICBM
S11299,M,12,Black,ACC Career And Technical Education,Paid,,10/20/2015,Disruption-School Process,Administrative Conference
S11589,F,11,Black,ACC Career And Technical Education,Free Lunch,,10/20/2015,Insubordination,Class Suspension
S12837,F,12,Black,ACC Career And Technical Education,Free Lunch,,9/21/2015,Insubordination,ISS-1 Day ICBM
S12837,F,12,Black,ACC Career And Technical Education,Free Lunch,,12/17/2015,Gross Insubordination,OSS-Three Days Out of School Suspension
S13235,M,11,Hispanic,ACC Career And Technical Education,Paid,,10/2/2015,Excessive Absences,Administrative Conference
S13246,F,11,Hispanic,ACC Career And Technical Education,Paid,,11/16/2015,Cell Phone,Class Suspension
S13282,F,11,Hispanic,ACC Career And Technical Education,Free Lunch,,9/8/2015,Cell Phone,Conference  Warning
S13282,F,11,Hispanic,ACC Career And Technical Education,Free Lunch,,11/10/2015,Rule Violation,Class Suspension
S13310,M,11,White,ACC Career And Technical Education,Paid,,12/1/2015,Safety Infraction,OSS-Three Days Out of School Suspension
S13330,F,12,White,ACC Career And Technical Education,Paid,,11/19/2015,Insubordination,ISS-Half Day ICBM
S13342,F,11,Hispanic,ACC Career And Technical Education,Paid,,10/20/2015,Disruption-School Process,Administrative Conference
S13383,M,11,Hispanic,ACC Career And Technical Education,Paid,,10/26/2015,Insubordination,ISS-Half Day ICBM
S13398,M,12,White,ACC Career And Technical Education,Paid,,9/3/2015,Cell Phone,Conference  Warning
S13398,M,12,White,ACC Career And Technical Education,Paid,,11/13/2015,Cell Phone,Administrative Conference
S13452,M,11,White,ACC Career And Technical Education,Paid,,10/1/2015,Cell Phone,Conference  Warning
S1227214,M,13,White,Clark High School,Paid,,9/23/2015,Truancy,Lunch Restriction
S1227214,M,13,White,Clark High School,Paid,,10/5/2015,Excessive Tardiness,Lunch Restriction
S1227358,F,13,Black,Clark High School,Free Lunch,Specific Learning Disability (07),9/8/2015,Insubordination,OSS-One Day Out of School Suspension
S1227537,F,13,Hispanic,Clark High School,Free Lunch,,12/8/2015,Excessive Tardiness,Lunch Restriction
S1227545,M,12,White,Clark High School,Paid,Emotional Disability (Other) (06),9/28/2015,Excessive Tardiness,Lunch Restriction
S1227545,M,12,White,Clark High School,Paid,Emotional Disability (Other) (06),10/1/2015,Excessive Tardiness,Lunch Restriction
S1227545,M,12,White,Clark High School,Paid,Emotional Disability (Other) (06),11/10/2015,Excessive Tardiness,Lunch Restriction
S1227679,F,13,White,Clark High School,Paid,Severe Cognitive Disability (12),10/16/2015,Failure Refused Detention,Lunch Restriction
S1227680,F,13,Hispanic,Clark High School,Free Lunch,,9/25/2015,Excessive Tardiness,Lunch Restriction
S1227680,F,13,Hispanic,Clark High School,Free Lunch,,10/5/2015,Excessive Tardiness,Friday School
S1227680,F,13,Hispanic,Clark High School,Free Lunch,,11/3/2015,Excessive Tardiness,Lunch Restriction
S1227738,M,13,Hispanic,Clark High School,Paid,,9/10/2015,Inappropriate Language,ISS-1 Day ICBM
S1227820,M,12,White,Clark High School,Free Lunch,,10/27/2015,Excessive Tardiness,ISS-1 Day ICBM
S1227820,M,12,White,Clark High School,Free Lunch,,12/8/2015,Excessive Tardiness,ISS-2 Day ICBM
S1227822,F,11,White,Clark High School,Free Lunch,Specific Learning Disability (07),9/4/2015,Disruption-School Process,Lunch Restriction
